Genre,period_active
R&B,2016.0
R&B,1995.0
R&B,1996.0
R&B,1997.0
R&B,1998.0
R&B,1999.0
R&B,2000.0
R&B,2001.0
R&B,2002.0
R&B,2003.0
R&B,2004.0
R&B,2005.0
R&B,2006.0
R&B,2007.0
R&B,2008.0
R&B,2009.0
R&B,2010.0
R&B,2011.0
R&B,2012.0
R&B,2013.0
R&B,2014.0
R&B,2015.0
R&B,2016.0
R&B,2017.0
R&B,2018.0
R&B,2019.0
R&B,2020.0
R&B,2021.0
R&B,2022.0
R&B,2023.0
Hip-hop,1996.0
Hip-hop,1997.0
Hip-hop,1998.0
Hip-hop,1999.0
Hip-hop,2000.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,1995.0
Hip-hop,1996.0
Hip-hop,1997.0
Hip-hop,1998.0
Hip-hop,1999.0
Hip-hop,2000.0
Hip-hop,2001.0
Hip-hop,2002.0
Hip-hop,2003.0
Hip-hop,2004.0
Hip-hop,2005.0
Hip-hop,2006.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
Hip-hop,2012.0
Hip-hop,2013.0
Hip-hop,2014.0
Hip-hop,2015.0
Hip-hop,2016.0
Hip-hop,2017.0
Hip-hop,2018.0
Hip-hop,2019.0
Hip-hop,2020.0
Hip-hop,2021.0
Hip-hop,2022.0
Hip-hop,2023.0
Hip-hop,2007.0
Hip-hop,2008.0
Hip-hop,2009.0
Hip-hop,2010.0
Hip-hop,2011.0
